Phenotype Code	Phenotype Description	UK Biobank Data Showcase Link	Sex	File	wget command	Dropbox File
20003_1140883748	Treatment/medication code: selenium product	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140883748.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/hp7a9x6kmtxep65/20003_1140883748.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140883748.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/hp7a9x6kmtxep65/20003_1140883748.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140883968	Treatment/medication code: carmellose	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140883968.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/tfvj9av595qg94j/20003_1140883968.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140883968.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/tfvj9av595qg94j/20003_1140883968.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884308	Treatment/medication code: hydroxychloroquine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884308.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/pddg4twh05ebfen/20003_1140884308.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884308.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/pddg4twh05ebfen/20003_1140884308.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884412	Treatment/medication code: sumatriptan	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884412.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/az52v8awa3263by/20003_1140884412.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884412.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/az52v8awa3263by/20003_1140884412.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884444	Treatment/medication code: codeine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884444.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/sxmzy4huh6vnn3o/20003_1140884444.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884444.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/sxmzy4huh6vnn3o/20003_1140884444.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884464	Treatment/medication code: dihydrocodeine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884464.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/g6sb59btdri1qor/20003_1140884464.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884464.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/g6sb59btdri1qor/20003_1140884464.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884488	Treatment/medication code: diclofenac	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884488.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/xc8tj90akkaitz0/20003_1140884488.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884488.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/xc8tj90akkaitz0/20003_1140884488.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884516	Treatment/medication code: thyroxine product	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884516.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/gn1lgj8og7irfct/20003_1140884516.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884516.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/gn1lgj8og7irfct/20003_1140884516.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884600	Treatment/medication code: metformin	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884600.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/33lql0zhwz15rgw/20003_1140884600.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884600.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/33lql0zhwz15rgw/20003_1140884600.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884654	Treatment/medication code: beclomethasone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884654.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/4qy14qgm6l1pv1b/20003_1140884654.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884654.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/4qy14qgm6l1pv1b/20003_1140884654.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884672	Treatment/medication code: fludrocortisone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884672.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/xdfdr2qw5dv13kn/20003_1140884672.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884672.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/xdfdr2qw5dv13kn/20003_1140884672.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884696	Treatment/medication code: clobetasone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884696.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/c71wktg50o9i28e/20003_1140884696.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884696.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/c71wktg50o9i28e/20003_1140884696.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140884700	Treatment/medication code: trimovate ointment	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140884700.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/bndknerc1a4wnn1/20003_1140884700.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140884700.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/bndknerc1a4wnn1/20003_1140884700.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888092	Treatment/medication code: elocon cream	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888092.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/wq3rc5u9gz1nulj/20003_1140888092.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888092.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/wq3rc5u9gz1nulj/20003_1140888092.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888098	Treatment/medication code: fluticasone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888098.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/wcrrvervfs4waoh/20003_1140888098.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888098.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/wcrrvervfs4waoh/20003_1140888098.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888172	Treatment/medication code: mometasone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888172.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/jmzieiuacby5wuf/20003_1140888172.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888172.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/jmzieiuacby5wuf/20003_1140888172.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888266	Treatment/medication code: warfarin	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888266.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/u1zlavybls20yu5/20003_1140888266.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888266.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/u1zlavybls20yu5/20003_1140888266.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888362	Treatment/medication code: pyridoxine preparation	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888362.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/qvnsmdx6f7ndme0/20003_1140888362.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888362.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/qvnsmdx6f7ndme0/20003_1140888362.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888366	Treatment/medication code: thiamine preparation	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888366.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/43jz253wgrfmui2/20003_1140888366.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888366.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/43jz253wgrfmui2/20003_1140888366.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888386	Treatment/medication code: iron product	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888386.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/08ryso0ylrixetb/20003_1140888386.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888386.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/08ryso0ylrixetb/20003_1140888386.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888390	Treatment/medication code: ferrous salt product	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888390.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/q9b8k7hezqh1i4o/20003_1140888390.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888390.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/q9b8k7hezqh1i4o/20003_1140888390.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888502	Treatment/medication code: amiodarone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888502.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/etb36fjnnc5an87/20003_1140888502.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888502.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/etb36fjnnc5an87/20003_1140888502.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888510	Treatment/medication code: verapamil	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888510.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/gna65f3g5xnlgwk/20003_1140888510.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888510.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/gna65f3g5xnlgwk/20003_1140888510.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888512	Treatment/medication code: amiloride	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888512.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/rwncbwxe6qpnw2e/20003_1140888512.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888512.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/rwncbwxe6qpnw2e/20003_1140888512.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888538	Treatment/medication code: zinc product	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888538.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/6ipgd963afincnc/20003_1140888538.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888538.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/6ipgd963afincnc/20003_1140888538.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888552	Treatment/medication code: enalapril	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888552.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/z6fqlv620up7hyk/20003_1140888552.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888552.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/z6fqlv620up7hyk/20003_1140888552.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888556	Treatment/medication code: fosinopril	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888556.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/ld6i30vu1o5jou8/20003_1140888556.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888556.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/ld6i30vu1o5jou8/20003_1140888556.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888560	Treatment/medication code: perindopril	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888560.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/w420theytur9xfi/20003_1140888560.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888560.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/w420theytur9xfi/20003_1140888560.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888570	Treatment/medication code: flecainide	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888570.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/2mnwh9emum3ucm2/20003_1140888570.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888570.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/2mnwh9emum3ucm2/20003_1140888570.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888594	Treatment/medication code: fluvastatin	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888594.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/h0lh7vnu7s5tdyz/20003_1140888594.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888594.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/h0lh7vnu7s5tdyz/20003_1140888594.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888646	Treatment/medication code: felodipine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888646.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/jgx3d2ihvbzk31f/20003_1140888646.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888646.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/jgx3d2ihvbzk31f/20003_1140888646.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888648	Treatment/medication code: pravastatin	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888648.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/tyf0jli6umwcu4n/20003_1140888648.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888648.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/tyf0jli6umwcu4n/20003_1140888648.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888688	Treatment/medication code: betahistine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888688.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/crlrr6turjj5emc/20003_1140888688.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888688.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/crlrr6turjj5emc/20003_1140888688.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888758	Treatment/medication code: penicillin v	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888758.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/dyxxqtwoqsfn6b1/20003_1140888758.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888758.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/dyxxqtwoqsfn6b1/20003_1140888758.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140888762	Treatment/medication code: ismn - isosorbide mononitrate	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140888762.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/u0ro9pu8o626ps1/20003_1140888762.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140888762.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/u0ro9pu8o626ps1/20003_1140888762.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909368	Treatment/medication code: carvedilol	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909368.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/tkgcn2b2noredo8/20003_1140909368.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909368.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/tkgcn2b2noredo8/20003_1140909368.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909482	Treatment/medication code: opticrom allergy eye drops	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909482.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/16bwpwhk30gghe7/20003_1140909482.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909482.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/16bwpwhk30gghe7/20003_1140909482.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909578	Treatment/medication code: losec 10mg capsule	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909578.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/1fmtksd91u0r0ga/20003_1140909578.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909578.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/1fmtksd91u0r0ga/20003_1140909578.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909674	Treatment/medication code: cod liver oil capsule	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909674.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/y1s7sg0kh2w2irf/20003_1140909674.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909674.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/y1s7sg0kh2w2irf/20003_1140909674.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909702	Treatment/medication code: sulfasalazine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909702.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/dipqt0gofcja1sw/20003_1140909702.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909702.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/dipqt0gofcja1sw/20003_1140909702.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909708	Treatment/medication code: furosemide	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909708.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/cu2k8whvl39rzkr/20003_1140909708.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909708.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/cu2k8whvl39rzkr/20003_1140909708.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909726	Treatment/medication code: vitamin c product	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909726.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/3pd0w9lyakxnxy6/20003_1140909726.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909726.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/3pd0w9lyakxnxy6/20003_1140909726.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909766	Treatment/medication code: multivitamins capsule	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909766.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/i1osx13vmvuairn/20003_1140909766.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909766.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/i1osx13vmvuairn/20003_1140909766.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909786	Treatment/medication code: beclometasone	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909786.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/h01y3icjmyzv1eh/20003_1140909786.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909786.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/h01y3icjmyzv1eh/20003_1140909786.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909788	Treatment/medication code: sodium cromoglicate	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909788.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/5cfbz40kajf30sx/20003_1140909788.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909788.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/5cfbz40kajf30sx/20003_1140909788.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909790	Treatment/medication code: chlorphenamine	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909790.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/6fimr01lwvbyokx/20003_1140909790.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909790.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/6fimr01lwvbyokx/20003_1140909790.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909806	Treatment/medication code: dosulepin	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909806.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/w10iz95jg8b591i/20003_1140909806.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909806.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/w10iz95jg8b591i/20003_1140909806.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909872	Treatment/medication code: vitamin b1 preparation	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909872.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/ycc08eb0ocjzaya/20003_1140909872.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909872.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/ycc08eb0ocjzaya/20003_1140909872.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909874	Treatment/medication code: vitamin b6 preparation	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909874.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/by44fflmeffogxg/20003_1140909874.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909874.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/by44fflmeffogxg/20003_1140909874.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909936	Treatment/medication code: indometacin	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909936.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/n7ponmek9ktifcw/20003_1140909936.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909936.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/n7ponmek9ktifcw/20003_1140909936.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140909954	Treatment/medication code: acyclovir	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140909954.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/97d3zb3bis1gpyy/20003_1140909954.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140909954.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/97d3zb3bis1gpyy/20003_1140909954.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
20003_1140910494	Treatment/medication code: b12 - hydroxocobalamin prep	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003	both_sexes	20003_1140910494.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/dujc68r3tcqthgt/20003_1140910494.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 20003_1140910494.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/dujc68r3tcqthgt/20003_1140910494.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
